split,prediction_model,reconstruction_variant,diagnostic_name,failure_mode,n_failure,n_reference,failure_median,reference_median,median_delta,median_ratio,cliffs_delta
val,majority,pca@64,top1_volume_sum_mae,non_neutral_missed_vs_detected,305,0,0.4037144184112549,,,,
val,majority,pca@64,top5_volume_sum_mae,incorrect_vs_correct,305,895,0.8200604915618896,0.6927909851074219,0.12726950645446777,1.1837054886543217,0.2719260005495009
val,majority,pca@64,top5_volume_sum_mae,opposite_direction_vs_not,0,1200,,0.7297021150588989,,,
val,majority,pca@64,top5_volume_sum_mae,low_confidence_vs_high_confidence,1200,1200,0.7297021150588989,0.7297021150588989,0.0,1.0,0.0
val,majority,pca@64,top5_volume_sum_mae,non_neutral_missed_vs_detected,305,0,0.8200604915618896,,,,
val,majority,pca@8,normalized_mse,incorrect_vs_correct,305,895,0.5466772317886353,0.9259637594223022,-0.379286527633667,0.59038728700322,-0.2431394816375126
val,majority,pca@8,normalized_mse,opposite_direction_vs_not,0,1200,,0.8620309829711914,,,
val,majority,pca@8,normalized_mse,low_confidence_vs_high_confidence,1200,1200,0.8620309829711914,0.8620309829711914,0.0,1.0,0.0
val,majority,pca@8,normalized_mse,non_neutral_missed_vs_detected,305,0,0.5466772317886353,,,,
val,majority,pca@8,top_of_book_mse,incorrect_vs_correct,305,895,0.4997392892837524,0.5589670538902283,-0.059227764606475886,0.8940406877395188,-0.04740727172818024
val,majority,pca@8,top_of_book_mse,opposite_direction_vs_not,0,1200,,0.5350253582000732,,,
val,majority,pca@8,top_of_book_mse,low_confidence_vs_high_confidence,1200,1200,0.5350253582000732,0.5350253582000732,0.0,1.0,0.0
val,majority,pca@8,top_of_book_mse,non_neutral_missed_vs_detected,305,0,0.4997392892837524,,,,
val,majority,pca@8,last_step_mse,incorrect_vs_correct,305,895,0.5856041312217712,1.002838373184204,-0.41723424196243286,0.5839466726451301,-0.21792838171993772
val,majority,pca@8,last_step_mse,opposite_direction_vs_not,0,1200,,0.9039264023303986,,,
val,majority,pca@8,last_step_mse,low_confidence_vs_high_confidence,1200,1200,0.9039264023303986,0.9039264023303986,0.0,1.0,0.0
val,majority,pca@8,last_step_mse,non_neutral_missed_vs_detected,305,0,0.5856041312217712,,,,
