split,prediction_model,reconstruction_variant,diagnostic_name,quantile_bin,n_samples,accuracy,macro_f1,balanced_accuracy,mcc,mean_confidence,mean_proba_true,opposite_direction_rate,directional_accuracy_non_neutral,true_down_count,true_neutral_count,true_up_count
val,logistic_regression,mlp_ae@16,last_step_mse,Q1,300,0.6966666666666667,0.5350301461600879,0.5327329902801602,0.33458094327002297,0.9032420758328611,0.6677203298624448,0.18181818181818182,0.38636363636363635,44,212,44
val,logistic_regression,mlp_ae@16,last_step_mse,Q2,300,0.5633333333333334,0.455536039552433,0.46317228132387706,0.21098551580178868,0.9061533414839503,0.5531318740049653,0.24107142857142858,0.3392857142857143,48,188,64
val,logistic_regression,mlp_ae@16,last_step_mse,Q3,300,0.7166666666666667,0.4444045633116329,0.47770528683914515,0.16722618297192582,0.9328907681321279,0.7056478599204292,0.06521739130434782,0.32608695652173914,25,254,21
val,logistic_regression,mlp_ae@16,last_step_mse,Q4,300,0.6766666666666666,0.46999662786518126,0.5084749390765988,0.1777416861246747,0.9465780720833863,0.6820886556041239,0.05084745762711865,0.3559322033898305,24,241,35
val,logistic_regression,mlp_ae@16,midprice_mae,Q1,300,0.6933333333333334,0.49648314981648317,0.4969691101388057,0.2676432636661534,0.9023164355658376,0.6653623287677776,0.15584415584415584,0.33766233766233766,38,223,39
val,logistic_regression,mlp_ae@16,midprice_mae,Q2,300,0.6366666666666667,0.4588313194991682,0.4762616693586999,0.2138228336848566,0.9201605040456411,0.6278271446497429,0.1728395061728395,0.3333333333333333,38,219,43
val,logistic_regression,mlp_ae@16,midprice_mae,Q3,300,0.72,0.49697483334858195,0.5340558976922612,0.25800780377468024,0.9336474139156246,0.7015954520840131,0.1206896551724138,0.3793103448275862,21,242,37
val,logistic_regression,mlp_ae@16,midprice_mae,Q4,300,0.6033333333333334,0.4671500652238579,0.4812820144573699,0.21523551506578195,0.932739904005222,0.6138037938904296,0.1797752808988764,0.3707865168539326,44,211,45
val,logistic_regression,mlp_ae@16,top1_volume_sum_mae,Q1,300,0.6833333333333333,0.4988560656167489,0.5015780050663772,0.2680233300250528,0.8970070111720441,0.655262107530445,0.15,0.35,43,220,37
val,logistic_regression,mlp_ae@16,top1_volume_sum_mae,Q2,300,0.6933333333333334,0.4553823417238749,0.4833697941986712,0.2128799668013617,0.9274276291400361,0.6731236259231258,0.1724137931034483,0.3275862068965517,24,242,34
val,logistic_regression,mlp_ae@16,top1_volume_sum_mae,Q3,300,0.6333333333333333,0.47301251790788884,0.5031635913988854,0.23935447419341072,0.9296466506805221,0.63613379519654,0.19230769230769232,0.38461538461538464,34,222,44
val,logistic_regression,mlp_ae@16,top1_volume_sum_mae,Q4,300,0.6433333333333333,0.4873155426213838,0.4928289325208756,0.23643100852673718,0.9347829665397231,0.6440691907418522,0.1348314606741573,0.34831460674157305,40,211,49
val,logistic_regression,mlp_ae@32,normalized_mse,Q1,300,0.71,0.489778410784671,0.4806283726090417,0.27412214985321076,0.8957158228079898,0.6763438419452621,0.16455696202531644,0.2911392405063291,38,221,41
val,logistic_regression,mlp_ae@32,normalized_mse,Q2,300,0.6233333333333333,0.4987645082337691,0.5078600827825467,0.28101949946606314,0.9229945617362925,0.6161797455041738,0.21359223300970873,0.3786407766990291,46,197,57
val,logistic_regression,mlp_ae@32,normalized_mse,Q3,300,0.6733333333333333,0.47331666447339565,0.5025490481366415,0.2184068983549162,0.9268881254078742,0.6634959247237981,0.1111111111111111,0.38095238095238093,29,237,34
val,logistic_regression,mlp_ae@32,normalized_mse,Q4,300,0.6466666666666666,0.44803335010323514,0.4903769841269841,0.17884584735253597,0.9432657475801686,0.6525692072187291,0.11666666666666667,0.36666666666666664,28,240,32
val,logistic_regression,mlp_ae@32,top_of_book_mse,Q1,300,0.7166666666666667,0.4863379713651945,0.5027777777777778,0.2520800867774202,0.8898381119817041,0.6868652475940502,0.15,0.35,30,240,30
val,logistic_regression,mlp_ae@32,top_of_book_mse,Q2,300,0.5833333333333334,0.4786079146681079,0.47617116751817906,0.24488258568297985,0.9224792471681258,0.5725857063146554,0.21138211382113822,0.3333333333333333,57,177,66
val,logistic_regression,mlp_ae@32,top_of_book_mse,Q3,300,0.7233333333333334,0.5441310541310541,0.5793952297459019,0.32775903633837783,0.9370489091749753,0.711734065359017,0.109375,0.46875,29,236,35
val,logistic_regression,mlp_ae@32,top_of_book_mse,Q4,300,0.63,0.4001709401709402,0.43223140495867773,0.10421429132799885,0.9394979892075204,0.6374037001242406,0.1206896551724138,0.27586206896551724,25,242,33
val,logistic_regression,mlp_ae@32,last_step_mse,Q1,300,0.6633333333333333,0.5145993251010494,0.5170364308662181,0.3032715943890982,0.8916552676015662,0.6406076991677652,0.20652173913043478,0.3804347826086957,47,208,45
val,logistic_regression,mlp_ae@32,last_step_mse,Q2,300,0.6533333333333333,0.5036919415211961,0.5088122605363984,0.2979350240889831,0.9202233414007442,0.6251749663126259,0.2268041237113402,0.36082474226804123,40,203,57
val,logistic_regression,mlp_ae@32,last_step_mse,Q3,300,0.6366666666666667,0.4019867549668874,0.41457736148680474,0.09554381126870982,0.9298631759663126,0.6400268105196606,0.09230769230769231,0.24615384615384617,31,235,34
val,logistic_regression,mlp_ae@32,last_step_mse,Q4,300,0.7,0.4882967607105538,0.5523979977882544,0.22298387245299067,0.9471224725637023,0.7027792433919112,0.0392156862745098,0.43137254901960786,23,249,28
