model,model_variant,latent_dim,split,level,side,field_type,normalized_mse,normalized_mae,original_mae
mlp_ae,mlp_ae@16,16.0,val,7,bid,volume,0.4743807911872864,0.5803284049034119,0.3855487704277038
mlp_ae,mlp_ae@16,16.0,val,7,ask,volume,0.7014552354812622,0.7086528539657593,0.2772016227245331
mlp_ae,mlp_ae@16,16.0,val,8,bid,price,0.0118063697591423,0.0860035642981529,0.034014381468296
mlp_ae,mlp_ae@16,16.0,val,8,ask,price,0.0115257203578948,0.0851510092616081,0.034228753298521
mlp_ae,mlp_ae@16,16.0,val,8,bid,volume,0.8672935962677002,0.8149489164352417,0.4941229820251465
mlp_ae,mlp_ae@16,16.0,val,8,ask,volume,0.5507587790489197,0.5595802068710327,0.2150118798017501
mlp_ae,mlp_ae@16,16.0,val,9,bid,price,0.010840649716556,0.0816390737891197,0.0322529263794422
mlp_ae,mlp_ae@16,16.0,val,9,ask,price,0.0111986547708511,0.08311278373003,0.0334451906383037
mlp_ae,mlp_ae@16,16.0,val,9,bid,volume,0.7633147239685059,0.7387009263038635,0.3617882132530212
mlp_ae,mlp_ae@16,16.0,val,9,ask,volume,0.5121421217918396,0.5986524820327759,0.2697515487670898
mlp_ae,mlp_ae@16,16.0,val,10,bid,price,0.0116497799754142,0.0852187350392341,0.0336304940283298
mlp_ae,mlp_ae@16,16.0,val,10,ask,price,0.0105732735246419,0.081544741988182,0.0328494198620319
mlp_ae,mlp_ae@16,16.0,val,10,bid,volume,0.8031792044639587,0.7449219226837158,0.3151220977306366
mlp_ae,mlp_ae@16,16.0,val,10,ask,volume,3.197059869766236,1.0987799167633057,0.3965336084365845
mlp_ae,mlp_ae@16,16.0,test,1,bid,price,0.0851600542664527,0.2386625558137893,0.0214882753789424
mlp_ae,mlp_ae@16,16.0,test,1,ask,price,0.0748992711305618,0.2276853173971176,0.0205278228968381
mlp_ae,mlp_ae@16,16.0,test,1,bid,volume,0.0741196647286415,0.2149033993482589,0.2888075709342956
mlp_ae,mlp_ae@16,16.0,test,1,ask,volume,0.8668938875198364,0.8285676836967468,0.2770904302597046
mlp_ae,mlp_ae@16,16.0,test,2,bid,price,0.0330627709627151,0.1423612982034683,0.0566714517772197
mlp_ae,mlp_ae@16,16.0,test,2,ask,price,0.0286118071526289,0.1355908662080764,0.0541534721851348
mlp_ae,mlp_ae@16,16.0,test,2,bid,volume,0.0428954698145389,0.1645352244377136,0.2990277111530304
mlp_ae,mlp_ae@16,16.0,test,2,ask,volume,0.5444835424423218,0.5592513680458069,0.1587804108858108
mlp_ae,mlp_ae@16,16.0,test,3,bid,price,0.0326959788799285,0.1412321776151657,0.0561611168086528
mlp_ae,mlp_ae@16,16.0,test,3,ask,price,0.0300922039896249,0.1345871984958648,0.0538104996085166
mlp_ae,mlp_ae@16,16.0,test,3,bid,volume,0.0426761023700237,0.1628220379352569,0.2898863852024078
mlp_ae,mlp_ae@16,16.0,test,3,ask,volume,0.6180328130722046,0.5452932119369507,0.1646136194467544
mlp_ae,mlp_ae@16,16.0,test,4,bid,price,0.0301079247146844,0.1370291262865066,0.0544304810464382
mlp_ae,mlp_ae@16,16.0,test,4,ask,price,0.0307543110102415,0.1396921724081039,0.0559118092060089
mlp_ae,mlp_ae@16,16.0,test,4,bid,volume,0.1868664473295211,0.3401597440242767,0.5378111600875854
mlp_ae,mlp_ae@16,16.0,test,4,ask,volume,0.6572952270507812,0.5863897800445557,0.1880925446748733
mlp_ae,mlp_ae@16,16.0,test,5,bid,price,0.0284087043255567,0.1378928869962692,0.0547150485217571
mlp_ae,mlp_ae@16,16.0,test,5,ask,price,0.0304213985800743,0.140824407339096,0.0564260445535182
mlp_ae,mlp_ae@16,16.0,test,5,bid,volume,0.3474504947662353,0.4841010272502899,0.6394045948982239
mlp_ae,mlp_ae@16,16.0,test,5,ask,volume,1.2705827951431274,0.9579647183418274,0.3117003738880157
mlp_ae,mlp_ae@16,16.0,test,6,bid,price,0.0275030676275491,0.1308967024087906,0.051881656050682
mlp_ae,mlp_ae@16,16.0,test,6,ask,price,0.0265804566442966,0.1303948312997818,0.0523028895258903
mlp_ae,mlp_ae@16,16.0,test,6,bid,volume,0.2721352577209472,0.4154455065727234,0.3340325951576233
mlp_ae,mlp_ae@16,16.0,test,6,ask,volume,1.1475043296813965,0.9796346426010132,0.3496268689632416
mlp_ae,mlp_ae@16,16.0,test,7,bid,price,0.0309268590062856,0.1383647322654724,0.0547823682427406
mlp_ae,mlp_ae@16,16.0,test,7,ask,price,0.0272758286446332,0.131179466843605,0.0526744648814201
mlp_ae,mlp_ae@16,16.0,test,7,bid,volume,0.743267297744751,0.7176231145858765,0.4766747057437897
mlp_ae,mlp_ae@16,16.0,test,7,ask,volume,0.8885666131973267,0.8549572825431824,0.3350801467895508
mlp_ae,mlp_ae@16,16.0,test,8,bid,price,0.0312762446701526,0.1404161155223846,0.0555342994630336
mlp_ae,mlp_ae@16,16.0,test,8,ask,price,0.0296966191381216,0.1340222954750061,0.0538737550377845
mlp_ae,mlp_ae@16,16.0,test,8,bid,volume,0.8997618556022644,0.8762284517288208,0.531281590461731
mlp_ae,mlp_ae@16,16.0,test,8,ask,volume,0.8384012579917908,0.8459751009941101,0.3252446949481964
