model,model_variant,latent_dim,split,timestep,normalized_mse,normalized_mae
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,45,1.3139419555664062,0.37017568945884705
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,46,1.2796660661697388,0.3654462397098541
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,47,1.2751508951187134,0.36382749676704407
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,48,1.246066927909851,0.36046886444091797
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,49,1.2482256889343262,0.359579473733902
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,50,1.2108280658721924,0.3536796271800995
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,51,1.2034128904342651,0.35076653957366943
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,52,1.176811933517456,0.3473575711250305
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,53,1.1760772466659546,0.34498244524002075
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,54,1.1429508924484253,0.3404950499534607
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,55,1.1360337734222412,0.3382537364959717
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,56,1.1073262691497803,0.3337210416793823
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,57,1.1063978672027588,0.33132538199424744
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,58,1.0758618116378784,0.32756751775741577
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,59,1.0642006397247314,0.32409417629241943
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,60,1.0359957218170166,0.3190193772315979
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,61,1.0364036560058594,0.31738874316215515
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,62,1.0080583095550537,0.31425875425338745
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,63,0.9964184165000916,0.3116700053215027
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,64,0.969601571559906,0.30638444423675537
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,65,0.9645902514457703,0.3032165765762329
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,66,0.9352543354034424,0.2989886403083801
