run_id,split_protocol,seed,model_family,model_or_variant,feature_source,input_dim,latent_dim,compression_ratio,selection_basis,uses_validation_for_selection,uses_test_for_selection,is_oracle_reference,test_accuracy,test_balanced_accuracy,test_macro_f1,test_mcc,test_log_loss,test_opposite_direction_rate,n_train,n_val,n_test,delta_macro_f1_vs_raw_tuned_within_run,delta_mcc_vs_raw_tuned_within_run,delta_macro_f1_vs_majority_within_run
random_window_naive_seed45,random_window_naive,45,raw_window_logistic,raw_window_logistic_test_oracle,raw_window_flattened,4000,,,test_macro_f1_oracle_C=10,False,True,True,0.4956597222222222,0.5289525082139624,0.45231601806942484,0.23877706039711447,0.9975113888535022,0.22802197802197802,5600,1200,1152,0.00033537706355779573,-0.0031059436454058398,0.181525640062552
random_window_naive_seed45,random_window_naive,45,frozen_latent_head,reconstruction_best_latent_head,frozen_reconstruction_latent,128,128.0,31.25,reconstruction_best_test_normalized_mse:pca@128,False,True,True,0.4696180555555556,0.4520625428232556,0.404294828120113,0.1743403705779113,1.033975954493693,0.32967032967032966,5600,1200,1152,-0.04768581288575402,-0.06754263346460901,0.1335044501132402
random_window_naive_seed45,random_window_naive,45,frozen_latent_head,validation_selected_latent_head,frozen_reconstruction_latent,40,40.0,100.0,validation_macro_f1_tie_mcc_log_loss_latent_dim_lexical:last_snapshot_repeat@40,True,False,False,0.5138888888888888,0.5861742823623679,0.48423211094105173,0.3007431397248183,0.9298717508194633,0.2032967032967033,5600,1200,1152,0.032251469935184685,0.058860135682298004,0.2134417329341789
random_window_naive_seed45,random_window_naive,45,frozen_latent_head,test_posthoc_best_latent_head,frozen_reconstruction_latent,40,40.0,100.0,posthoc_best_test_macro_f1:last_snapshot_repeat@40,False,True,True,0.5138888888888888,0.5861742823623679,0.48423211094105173,0.3007431397248183,0.9298717508194633,0.2032967032967033,5600,1200,1152,0.032251469935184685,0.058860135682298004,0.2134417329341789
random_block_purged_seed45,random_block_purged,45,baseline,majority,raw_window_flattened,4000,,,train_majority_class,False,False,False,0.6269757639620653,0.3333333333333333,0.2569084628670121,0.0,0.9323668343326227,0.0,5729,924,949,-0.12148375204184486,-0.13004513265295004,0.0
random_block_purged_seed45,random_block_purged,45,raw_window_logistic,raw_window_logistic_untuned,raw_window_flattened,4000,,,fixed_C_1,False,False,False,0.38777660695468913,0.4284268344209192,0.3714485977905461,0.1194378499194676,1.1911249834469915,0.2994350282485876,5729,924,949,-0.006943617118310819,-0.010607282733482437,0.11454013492353404
random_block_purged_seed45,random_block_purged,45,raw_window_logistic,raw_window_logistic_tuned,raw_window_flattened,4000,,,validation_macro_f1_tie_mcc_log_loss_C=0.01,True,False,False,0.3951527924130664,0.4362543229582336,0.37839221490885694,0.13004513265295004,1.1920598062116965,0.2966101694915254,5729,924,949,0.0,0.0,0.12148375204184486
random_block_purged_seed45,random_block_purged,45,raw_window_logistic,raw_window_logistic_test_oracle,raw_window_flattened,4000,,,test_macro_f1_oracle_C=0.01,False,True,True,0.3951527924130664,0.4362543229582336,0.37839221490885694,0.13004513265295004,1.1920598062116965,0.2966101694915254,5729,924,949,0.0,0.0,0.12148375204184486
random_block_purged_seed45,random_block_purged,45,frozen_latent_head,reconstruction_best_latent_head,frozen_reconstruction_latent,128,128.0,31.25,reconstruction_best_test_normalized_mse:pca@128,False,True,True,0.3940990516332982,0.41641988639031036,0.3687977309087012,0.12072473248191713,1.193191183040269,0.3502824858757062,5729,924,949,-0.009594484000155723,-0.009320400171032903,0.11188926804168914
random_block_purged_seed45,random_block_purged,45,frozen_latent_head,validation_selected_latent_head,frozen_reconstruction_latent,40,40.0,100.0,validation_macro_f1_tie_mcc_log_loss_latent_dim_lexical:last_snapshot_repeat@40,True,False,False,0.410958904109589,0.5619379371860477,0.41581411455534106,0.2710831161276816,1.116147066705844,0.2175141242937853,5729,924,949,0.037421899646484125,0.14103798347473157,0.15890565168832899
random_block_purged_seed45,random_block_purged,45,frozen_latent_head,test_posthoc_best_latent_head,frozen_reconstruction_latent,40,40.0,100.0,posthoc_best_test_macro_f1:last_snapshot_repeat@40,False,True,True,0.410958904109589,0.5619379371860477,0.41581411455534106,0.2710831161276816,1.116147066705844,0.2175141242937853,5729,924,949,0.037421899646484125,0.14103798347473157,0.15890565168832899
random_window_naive_seed46,random_window_naive,46,baseline,majority,raw_window_flattened,4000,,,train_majority_class,False,False,False,0.6744791666666666,0.3333333333333333,0.2685329186106791,0.0,0.8567453058218155,0.0,5600,1200,1152,-0.17629119833137818,-0.21695129410440747,0.0
random_window_naive_seed46,random_window_naive,46,raw_window_logistic,raw_window_logistic_untuned,raw_window_flattened,4000,,,fixed_C_1,False,False,False,0.4991319444444444,0.5016780869842559,0.44546726075809623,0.21844364758675006,1.022836329975785,0.25066666666666665,5600,1200,1152,0.0006431438160389158,0.0014923534823425844,0.1769343421474171
random_window_naive_seed46,random_window_naive,46,raw_window_logistic,raw_window_logistic_tuned,raw_window_flattened,4000,,,validation_macro_f1_tie_mcc_log_loss_C=0.1,True,False,False,0.4991319444444444,0.500361886715176,0.4448241169420573,0.21695129410440747,1.0232154398960611,0.25066666666666665,5600,1200,1152,0.0,0.0,0.17629119833137818
